employee_id,first_name,middle_name,last_name,suffix,birth_date,place_of_birth,sex,civil_status,blood_type,citizenship,email,mobile_number,landline_number,department,designation,employment_status,appointment_date,salary_grade,step_increment,house_no,street,barangay,city,province,zip_code,gsis_no,philhealth_no,pagibig_no,tin_no,license_no
EMP-PGS-0101,JOANNA,PATRIZHA,MERAMBEL,,1984-07-18,"Pagsanjan, Laguna",Female,Single,A+,Filipino,joanna.merambel@pagsanjan.gov.ph,091710062527,(049) 501-1217,Municipal Accounting Office,Admin Aide I,Casual,2021-01-01,SG-2,Step 8,378,Bonifacio St.,Casinsin,Pagsanjan,Laguna,4008,9444249781,877060885875,077801108023,063-889-698-554,PRC-1000100
EMP-PGS-0102,JOCELYN,C.,LERON,,1986-09-21,"Pagsanjan, Laguna",Female,Single,O-,Filipino,jocelyn.leron@pagsanjan.gov.ph,091714081964,(049) 501-6309,Municipal Social Welfare and Development Office,Admin. Aide III,Permanent,2021-01-01,SG-4,Step 8,26,Del Pilar St.,Casinsin,Pagsanjan,Laguna,4008,2892222843,924588853476,035553673912,262-219-064-093,PRC-1000101
EMP-PGS-0103,JOEMAR,B.,PANTONIA,,1973-11-16,"Pagsanjan, Laguna",Male,Single,O+,Filipino,joemar.pantonia@pagsanjan.gov.ph,091717838009,049-501-1102,Office of the Municipal Mayor,Admin Aide I,Casual,2021-01-01,SG-2,Step 3,47,Rizal St.,Maulawin,Pagsanjan,Laguna,4008,3864090832,326914515007,004103256192,932-148-334-072,PRC-1000102
EMP-PGS-0104,JOHN,ARNIE S.,QUISMUNDO,,1998-12-26,"Pagsanjan, Laguna",Male,Married,AB+,Filipino,john.quismundo@pagsanjan.gov.ph,091715816769,049-501-1103,Municipal Disaster Risk Reduction and Management Office,Admin. Aide IV,Permanent,2021-01-01,SG-8,Step 7,602,Burgos St.,Lambac,Pagsanjan,Laguna,4008,5399153406,819732217174,067153421287,554-663-621-360,PRC-1000103
EMP-PGS-0105,JOHN,CHRISTIAN M.,ABARQUEZ,,1970-03-22,"Pagsanjan, Laguna",Male,Single,O+,Filipino,john.abarquez@pagsanjan.gov.ph,091711310428,(049) 501-4703,Municipal Environment and Natural Resources Office,Admin. Aide III,Permanent,2021-01-01,SG-5,Step 4,455,J.P. Rizal St.,Binan,Pagsanjan,Laguna,4008,9969486035,501646050646,006908691834,838-329-151-784,PRC-1000104
EMP-PGS-0106,JOHN,GOLDWYN M.,LIMLENGCO,,1982-02-13,"Pagsanjan, Laguna",Male,Single,O-,Filipino,john.limlengco@pagsanjan.gov.ph,091713929263,(049) 501-7418,Municipal Treasury Office,RCC II,Permanent,2021-01-01,SG-5,Step 4,992,Mabini St.,Sabang,Pagsanjan,Laguna,4008,1039241983,891499104564,081075027121,333-928-835-203,PRC-2425627
EMP-PGS-0107,JOHN,PAUL J.,EJERCITO,,1971-04-26,"Pagsanjan, Laguna",Male,Single,A+,Filipino,john.ejercito@pagsanjan.gov.ph,091710585730,(049) 501-4012,Sangguniang Bayan,SB Member,Permanent,2021-01-01,SG-20,Step 4,129,Quezon Ave.,San Isidro,Pagsanjan,Laguna,4008,6654034003,488147985064,066905104962,762-154-388-711,PRC-1000106
EMP-PGS-0108,JON,VINCENT,CABANTOG,,1975-10-19,"Pagsanjan, Laguna",Male,Married,O-,Filipino,jon.cabantog@pagsanjan.gov.ph,091716716569,049-501-1107,Sangguniang Bayan,Admin. Aide IV,Permanent,2021-01-01,SG-8,Step 1,284,Burgos St.,Calaan,Pagsanjan,Laguna,4008,7229575365,078006881206,083159263873,966-012-155-859,PRC-1000107
EMP-PGS-0109,JONAS,B.,LLAMAS,,1998-04-16,"Pagsanjan, Laguna",Male,Single,B+,Filipino,jonas.llamas@pagsanjan.gov.ph,091717224891,(049) 501-4631,General Services Office,Admin. Aide III,Permanent,2021-01-01,SG-4,Step 6,17,Burgos St.,Maulawin,Pagsanjan,Laguna,4008,3951418411,433695546130,041772218200,907-156-433-736,PRC-1593614
EMP-PGS-0110,JONATHAN,,AZULA,,1992-02-27,"Pagsanjan, Laguna",Male,Single,AB-,Filipino,jonathan.azula@pagsanjan.gov.ph,091710985264,049-501-1109,Municipal Market Office,Admin Aide I,Job Order,2021-01-01,SG-6,Step 2,463,Quezon Ave.,Casinsin,Pagsanjan,Laguna,4008,2205048903,090435080124,006621079301,682-089-208-506,PRC-0534564
EMP-PGS-0111,JOSELITO,,CASAS,,1972-03-03,"Pagsanjan, Laguna",Male,Single,O+,Filipino,joselito.casas@pagsanjan.gov.ph,091711876197,049-501-1110,Office of the Municipal Mayor,Admin. Aide III,Permanent,2021-01-01,SG-3,Step 1,491,Real St.,Lambac,Pagsanjan,Laguna,4008,4220679857,685246153312,032270876937,300-839-934-996,PRC-1000110
EMP-PGS-0112,JOSEPH,WARREN P.,COLADILLA,,1990-05-13,"Pagsanjan, Laguna",Male,Single,A-,Filipino,joseph.coladilla@pagsanjan.gov.ph,091710126094,049-501-1111,Municipal Agriculture Office,Admin. Aide III,Permanent,2021-01-01,SG-5,Step 3,68,Burgos St.,Maulawin,Pagsanjan,Laguna,4008,4284750362,113699339168,058732752232,452-299-542-227,PRC-1000111
EMP-PGS-0113,JOWEL,,PALACOL,,1995-08-11,"Pagsanjan, Laguna",Male,Single,AB+,Filipino,jowel.palacol@pagsanjan.gov.ph,091715173693,049-501-1112,Office of the Vice Mayor,Admin Aide I,Casual,2021-01-01,SG-9,Step 5,465,Real St.,San Isidro,Pagsanjan,Laguna,4008,3945461295,532204178234,058535899922,767-071-799-320,PRC-1000112
EMP-PGS-0114,JOY,L.,DIMACULANGAN,,1976-11-03,"Pagsanjan, Laguna",Female,Married,AB+,Filipino,joy.dimaculangan@pagsanjan.gov.ph,091712157392,049-501-1113,Municipal Treasury Office,Lic. Inspector,Permanent,2021-01-01,SG-4,Step 7,348,J.P. Rizal St.,Lambac,Pagsanjan,Laguna,4008,8295487943,856208652179,036241367890,925-057-951-036,PRC-1000113
EMP-PGS-0115,JUANITO,,AGAWIN,,1980-10-17,"Pagsanjan, Laguna",Male,Widowed,O-,Filipino,juanito.agawin@pagsanjan.gov.ph,091713187001,049-501-1114,Office of the Municipal Mayor,Admin. Aide III,Permanent,2021-01-01,SG-6,Step 2,94,Mabini St.,San Isidro,Pagsanjan,Laguna,4008,2724965162,789918677417,067295412441,026-387-939-442,PRC-1000114
EMP-PGS-0116,JUDILYN,B.,CLARITO,,1991-02-11,"Pagsanjan, Laguna",Female,Single,O-,Filipino,judilyn.clarito@pagsanjan.gov.ph,091715966337,049-501-1115,Municipal Accounting Office,Bookkeeper III,Permanent,2021-01-01,SG-9,Step 1,601,Del Pilar St.,San Isidro,Pagsanjan,Laguna,4008,2635407719,857444030133,080168353818,113-920-062-433,PRC-1000115
EMP-PGS-0117,JULIE,M.,MACARAIG,,1972-08-19,"Pagsanjan, Laguna",Female,Single,AB+,Filipino,julie.macaraig@pagsanjan.gov.ph,09179881935,049-501-1116,Municipal Health Office,Midwife IV,Permanent,2021-01-01,SG-1,Step 5,615,Bonifacio St.,Sampaloc,Pagsanjan,Laguna,4008,2582055633,676658150900,062581842268,056-293-052-295,PRC-2013288
EMP-PGS-0118,JULIE,V.,CONTEGINO,,1979-07-15,"Pagsanjan, Laguna",Female,Separated,B-,Filipino,julie.contegino@pagsanjan.gov.ph,091715979414,049-501-1117,Municipal Social Welfare and Development Office,Daycare Worker I,Permanent,2021-01-01,SG-6,Step 6,118,Bonifacio St.,Casinsin,Pagsanjan,Laguna,4008,4481604655,061495420535,017987252709,960-148-524-702,PRC-1000117
EMP-PGS-0119,JUVY,GRACE DB,ABARQUEZ,,1994-07-07,"Pagsanjan, Laguna",Female,Single,O+,Filipino,juvy.abarquez@pagsanjan.gov.ph,091712093947,(049) 501-2163,Office of the Municipal Mayor,Admin Aide I,Casual,2021-01-01,SG-5,Step 5,944,Del Pilar St.,Sampaloc,Pagsanjan,Laguna,4008,0059831138,419830726721,041978619516,904-243-061-602,PRC-2843682
EMP-PGS-0120,KELVIN,Y.,ABAQUIN,,1996-01-17,"Pagsanjan, Laguna",Female,Separated,A-,Filipino,kelvin.abaquin@pagsanjan.gov.ph,091714136714,(049) 501-2711,Municipal Disaster Risk Reduction and Management Office,Admin. Aide IV,Permanent,2021-01-01,SG-4,Step 2,765,Quezon Ave.,Lambac,Pagsanjan,Laguna,4008,5598367062,769008539468,085447673672,812-395-536-776,PRC-1000119
EMP-PGS-0121,KEVIN,MAR Z.,MORENO,,1995-09-19,"Pagsanjan, Laguna",Male,Widowed,A-,Filipino,kevin.moreno@pagsanjan.gov.ph,09179866804,049-501-1120,Human Resource Management Office,Admin. Aide IV,Permanent,2021-01-01,SG-5,Step 3,773,Rizal St.,San Isidro,Pagsanjan,Laguna,4008,0970733266,689718064923,027747171223,688-584-044-636,PRC-1000120
EMP-PGS-0122,KIMBERLY,JOICE H.,ACILAR,,1996-12-02,"Pagsanjan, Laguna",Female,Single,AB-,Filipino,kimberly.acilar@pagsanjan.gov.ph,091710469199,049-501-1121,Municipal Treasury Office,Admin. Aide III,Permanent,2021-01-01,SG-6,Step 5,221,Mabini St.,Sampaloc,Pagsanjan,Laguna,4008,9760117104,556865479363,074224387571,224-863-527-566,PRC-1000121
