employee_id,first_name,middle_name,last_name,suffix,birth_date,place_of_birth,sex,civil_status,blood_type,citizenship,email,mobile_number,landline_number,department,designation,employment_status,appointment_date,salary_grade,step_increment,house_no,street,barangay,city,province,zip_code,gsis_no,philhealth_no,pagibig_no,tin_no,license_no
EMP-PGS-0051,ELOISA,R.,OMBIGA,,1971-11-16,"Pagsanjan, Laguna",Female,Separated,B-,Filipino,eloisa.ombiga@pagsanjan.gov.ph,09179830467,049-501-1050,Municipal Health Office,MedTech,Permanent,2021-01-01,SG-5,Step 7,498,Rizal St.,Lambac,Pagsanjan,Laguna,4008,6280595521,814033656332,071065781785,647-758-308-251,PRC-1000050
EMP-PGS-0052,ELREEN,MAE F.,CASTILLO,,1977-10-24,"Pagsanjan, Laguna",Female,Single,AB+,Filipino,elreen.castillo@pagsanjan.gov.ph,091715440325,049-501-1051,Sangguniang Bayan Secretariat,Local Legislative Staff I,Permanent,2021-01-01,SG-8,Step 3,638,Rizal St.,Lambac,Pagsanjan,Laguna,4008,0364225002,756702486034,074481745560,939-594-745-374,PRC-1000051
EMP-PGS-0053,CYRE,DANIELLE D.,RAZ,,1997-04-18,"Pagsanjan, Laguna",Male,Separated,B+,Filipino,cyre.raz@pagsanjan.gov.ph,091713347324,049-501-1052,Municipal Engineering Office,Engr. II,Permanent,2021-01-01,SG-3,Step 1,267,Real St.,Sampaloc,Pagsanjan,Laguna,4008,9769815537,379995039748,037973539974,368-817-166-710,PRC-1000052
EMP-PGS-0054,IMELDA,C.,IRANON,,1976-08-18,"Pagsanjan, Laguna",Female,Single,AB+,Filipino,imelda.iranon@pagsanjan.gov.ph,09179608392,(049) 501-1710,Municipal Assessor Office,Mun. Assessor,Permanent,2021-01-01,SG-7,Step 5,855,Mabini St.,Sabang,Pagsanjan,Laguna,4008,2952577297,081636230445,086672060260,155-962-571-119,PRC-0885059
EMP-PGS-0055,MICHAEL,,A.TORRALBA,,1983-10-09,"Pagsanjan, Laguna",Male,Single,O-,Filipino,michael.atorralba@pagsanjan.gov.ph,091712455512,(049) 501-9870,Municipal Engineering Office,Mun. Engr.,Permanent,2021-01-01,SG-2,Step 1,773,Rizal St.,Binan,Pagsanjan,Laguna,4008,4120258712,451483707010,062848455326,895-210-275-439,PRC-9877886
EMP-PGS-0056,MICHAEL,,TORRALBA,,1983-02-17,"Pagsanjan, Laguna",Male,Married,AB-,Filipino,michael.torralba@pagsanjan.gov.ph,091710902994,049-501-1055,Municipal Engineering Office,Mun. Engr.,Permanent,2021-01-01,SG-10,Step 4,477,Bonifacio St.,Sampaloc,Pagsanjan,Laguna,4008,6904977076,169055224521,049536226816,063-289-801-597,PRC-3137160
EMP-PGS-0057,ERIK,,JAVIER,,1981-01-26,"Pagsanjan, Laguna",Male,Single,A-,Filipino,erik.javier@pagsanjan.gov.ph,091715667693,049-501-1056,Municipal Treasury Office,Admin Aide I,Job Order,2021-01-01,SG-3,Step 5,111,Rizal St.,Maulawin,Pagsanjan,Laguna,4008,3564879869,138125266711,090784530320,829-376-457-942,PRC-1000056
EMP-PGS-0058,ERNESTO,P.,OBIAL,Jr.,1983-10-24,"Pagsanjan, Laguna",Female,Married,A-,Filipino,ernesto.obial@pagsanjan.gov.ph,091710799657,049-501-1057,Municipal Treasury Office,Admin. Aide III,Permanent,2021-01-01,SG-4,Step 2,714,Bonifacio St.,Casinsin,Pagsanjan,Laguna,4008,8347172008,001124339337,085486274364,068-363-205-740,PRC-1000057
EMP-PGS-0059,ERNESTO,T.,ILANO,,1977-12-12,"Pagsanjan, Laguna",Male,Single,O-,Filipino,ernesto.ilano@pagsanjan.gov.ph,091711673906,049-501-1058,Municipal Health Office,Admin. Aide III,Permanent,2021-01-01,SG-5,Step 2,519,Del Pilar St.,Poblacion,Pagsanjan,Laguna,4008,2608675151,585996625019,057497727957,990-164-742-525,PRC-1000058
EMP-PGS-0060,EVELYN,O.,LAGRIMAS,,1982-04-27,"Pagsanjan, Laguna",Female,Single,A-,Filipino,evelyn.lagrimas@pagsanjan.gov.ph,091717971401,049-501-1059,Sangguniang Bayan,Bookbinder IV,Permanent,2021-01-01,SG-6,Step 8,725,Burgos St.,Lambac,Pagsanjan,Laguna,4008,3371582399,623778893333,022953821464,990-751-172-340,PRC-1724596
