employee_id,first_name,middle_name,last_name,suffix,birth_date,place_of_birth,sex,civil_status,blood_type,citizenship,email,mobile_number,landline_number,department,designation,employment_status,appointment_date,salary_grade,step_increment,house_no,street,barangay,city,province,zip_code,gsis_no,philhealth_no,pagibig_no,tin_no,license_no
EMP-PGS-0151,MARK,PAUL A.,MONTEIRO,,1971-03-06,"Pagsanjan, Laguna",Male,Widowed,O+,Filipino,mark.monteiro@pagsanjan.gov.ph,091717945550,049-501-1150,Municipal Agriculture Office,Farm Foreman,Permanent,2021-01-01,SG-6,Step 2,354,Quezon Ave.,San Isidro,Pagsanjan,Laguna,4008,1488520237,681880478611,020706908537,622-020-585-916,PRC-1000150
EMP-PGS-0152,MARLON,,PAMATMAT,,1989-04-16,"Pagsanjan, Laguna",Male,Single,O-,Filipino,marlon.pamatmat@pagsanjan.gov.ph,091710605003,049-501-1151,Municipal Engineering Office,Admin Aide I,Casual,2021-01-01,SG-11,Step 3,851,J.P. Rizal St.,Sabang,Pagsanjan,Laguna,4008,0722264007,177302984818,009690294035,572-660-133-011,PRC-1000151
EMP-PGS-0153,MARVIN,L.,ARCOLES,,1985-08-24,"Pagsanjan, Laguna",Male,Separated,A+,Filipino,marvin.arcoles@pagsanjan.gov.ph,091714425427,(049) 501-9006,Office of the Municipal Mayor,Admin. Aide IV,Permanent,2021-01-01,SG-4,Step 4,908,Rizal St.,Sampaloc,Pagsanjan,Laguna,4008,0663330755,492122559948,067423738734,763-550-401-077,PRC-1000152
EMP-PGS-0154,MARVIN,P.,PINILI,,1989-04-13,"Pagsanjan, Laguna",Male,Single,AB-,Filipino,marvin.pinili@pagsanjan.gov.ph,091714422917,(049) 501-4344,General Services Office,Supply Officer I,Permanent,2021-01-01,SG-18,Step 5,366,Rizal St.,Sampaloc,Pagsanjan,Laguna,4008,1763473151,795203453970,047968071151,729-160-222-418,PRC-1000153
EMP-PGS-0155,MARWIN,C.,ESCOTE,,1982-07-14,"Pagsanjan, Laguna",Male,Separated,AB-,Filipino,marwin.escote@pagsanjan.gov.ph,091714843075,049-501-1154,Municipal Environment and Natural Resources Office,Admin. Aide III,Permanent,2021-01-01,SG-6,Step 6,998,Burgos St.,Sabang,Pagsanjan,Laguna,4008,1191857624,167301220561,090211408867,634-113-530-452,PRC-1000154
EMP-PGS-0156,MARY,CELESTINE B.,NAQUINES,,1981-03-15,"Pagsanjan, Laguna",Female,Widowed,A-,Filipino,mary.naquines@pagsanjan.gov.ph,091713288638,049-501-1155,Office of the Vice Mayor,Executive Asst. I,Permanent,2021-01-01,SG-2,Step 7,617,Burgos St.,Buboy,Pagsanjan,Laguna,4008,6626246817,547380136702,061844078049,835-149-264-924,PRC-1000155
EMP-PGS-0157,MARY,JANE A.,ONGSANSOY,,1979-08-03,"Pagsanjan, Laguna",Female,Widowed,O+,Filipino,mary.ongsansoy@pagsanjan.gov.ph,091717378199,049-501-1156,Municipal Health Office,Midwife III,Permanent,2021-01-01,SG-7,Step 3,707,J.P. Rizal St.,Sampaloc,Pagsanjan,Laguna,4008,5505801850,845094429033,030816026224,049-903-524-643,PRC-1000156
EMP-PGS-0158,MATTHEW,T.,CASANTUSAN,,1981-02-04,"Pagsanjan, Laguna",Male,Single,AB+,Filipino,matthew.casantusan@pagsanjan.gov.ph,09179867571,(049) 501-1387,Municipal Engineering Office,Admin. Aide III,Permanent,2021-01-01,SG-3,Step 2,688,Real St.,Sampaloc,Pagsanjan,Laguna,4008,8032818147,071777959374,047132914203,834-496-402-103,PRC-1000157
EMP-PGS-0159,MEINARD,D.,ROCES,,1998-11-11,"Pagsanjan, Laguna",Male,Single,B+,Filipino,meinard.roces@pagsanjan.gov.ph,091711002607,049-501-1158,Municipal Environment and Natural Resources Office,Admin. Aide III,Permanent,2021-01-01,SG-6,Step 1,130,Mabini St.,Binan,Pagsanjan,Laguna,4008,3462943518,505907269057,099657812103,699-469-541-573,PRC-1000158
EMP-PGS-0160,MELANIE,P.,GALEMA,,1990-04-11,"Pagsanjan, Laguna",Female,Separated,A+,Filipino,melanie.galema@pagsanjan.gov.ph,091711885373,049-501-1159,Municipal Accounting Office,Mun. Accountant,Permanent,2021-01-01,SG-11,Step 8,972,Del Pilar St.,Sampaloc,Pagsanjan,Laguna,4008,0100270785,627170825731,030454498051,200-135-963-286,PRC-1000159
